Area Name,Occupational Code,Occupational Title,Estimated Employment,Pay Type,Mean Wage,Entry Wage,Experienced Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage
"Cedar Rapids, IA Metropolitan Statistical Area",00-0000,All Occupations,142320,Annual wage or salary,$47833.00,$22117.00,$60691.00,$19057.00,$25793.00,$38190.00,$59063.00,$86832.00
"Cedar Rapids, IA Metropolitan Statistical Area",00-0000,All Occupations,142320,Hourly wage,$23.00,$10.63,$29.18,$9.16,$12.40,$18.36,$28.40,$41.75
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",00-0000,All Occupations,90990,Annual wage or salary,$42316.00,$19894.00,$53527.00,$18100.00,$22606.00,$32839.00,$51857.00,$74150.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",00-0000,All Occupations,90990,Hourly wage,$20.34,$9.56,$25.73,$8.70,$10.87,$15.79,$24.93,$35.65
"Des Moines, IA Metropolitan Statistical Area",00-0000,All Occupations,353570,Annual wage or salary,$49421.00,$22198.00,$63033.00,$19223.00,$25831.00,$38846.00,$59857.00,$88979.00
"Des Moines, IA Metropolitan Statistical Area",00-0000,All Occupations,353570,Hourly wage,$23.76,$10.67,$30.30,$9.24,$12.42,$18.68,$28.78,$42.78
"Ames, IA Metropolitan Statistical Area",00-0000,All Occupations,43690,Annual wage or salary,$48036.00,$21111.00,$61499.00,$18397.00,$24265.00,$38364.00,$59457.00,$87668.00
"Ames, IA Metropolitan Statistical Area",00-0000,All Occupations,43690,Hourly wage,$23.09,$10.15,$29.57,$8.84,$11.67,$18.44,$28.58,$42.15
Iowa,00-0000,All Occupations,1534910,Annual wage or salary,$43539.00,$20991.00,$54813.00,$18507.00,$23970.00,$34785.00,$52169.00,$76487.00
Iowa,00-0000,All Occupations,1534910,Hourly wage,$20.93,$10.09,$26.35,$8.90,$11.52,$16.72,$25.08,$36.77
Southeast Iowa,00-0000,All Occupations,229020,Annual wage or salary,$39749.00,$20061.00,$49593.00,$18105.00,$22853.00,$32005.00,$47510.00,$67670.00
Southeast Iowa,00-0000,All Occupations,229020,Hourly wage,$19.11,$9.64,$23.84,$8.70,$10.99,$15.39,$22.84,$32.53
Southwest Iowa,00-0000,All Occupations,84640,Annual wage or salary,$37973.00,$19878.00,$47020.00,$18093.00,$22584.00,$31817.00,$46034.00,$63250.00
Southwest Iowa,00-0000,All Occupations,84640,Hourly wage,$18.26,$9.56,$22.61,$8.70,$10.86,$15.30,$22.13,$30.41
Northwest Iowa,00-0000,All Occupations,138710,Annual wage or salary,$39469.00,$21258.00,$48575.00,$18628.00,$24324.00,$32742.00,$46835.00,$65475.00
Northwest Iowa,00-0000,All Occupations,138710,Hourly wage,$18.98,$10.22,$23.35,$8.96,$11.69,$15.74,$22.52,$31.48
"Iowa City, IA Metropolitan Statistical Area",00-0000,All Occupations,90630,Annual wage or salary,$47453.00,$21180.00,$60589.00,$18561.00,$24297.00,$36847.00,$57391.00,$81401.00
"Iowa City, IA Metropolitan Statistical Area",00-0000,All Occupations,90630,Hourly wage,$22.81,$10.18,$29.13,$8.92,$11.68,$17.71,$27.59,$39.14
"Sioux City, IA-NE-SD Metropolitan Statistical Area",00-0000,All Occupations,63370,Annual wage or salary,$40916.00,$20409.00,$51170.00,$18284.00,$23261.00,$33419.00,$49040.00,$69538.00
"Sioux City, IA-NE-SD Metropolitan Statistical Area",00-0000,All Occupations,63370,Hourly wage,$19.67,$9.81,$24.60,$8.79,$11.18,$16.07,$23.58,$33.43
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",00-0000,All Occupations,88420,Annual wage or salary,$41445.00,$20672.00,$51832.00,$18437.00,$23480.00,$34021.00,$48981.00,$72911.00
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",00-0000,All Occupations,88420,Hourly wage,$19.93,$9.94,$24.92,$8.86,$11.29,$16.36,$23.55,$35.05
Northeast Iowa,00-0000,All Occupations,101080,Annual wage or salary,$38545.00,$20245.00,$47694.00,$18217.00,$23037.00,$31912.00,$46219.00,$64243.00
Northeast Iowa,00-0000,All Occupations,101080,Hourly wage,$18.53,$9.73,$22.93,$8.76,$11.08,$15.34,$22.22,$30.89
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",00-0000,All Occupations,46330,Annual wage or salary,$38208.00,$19520.00,$47552.00,$17922.00,$22020.00,$31378.00,$47210.00,$65438.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",00-0000,All Occupations,46330,Hourly wage,$18.37,$9.38,$22.86,$8.62,$10.59,$15.09,$22.70,$31.46
"Dubuque, IA Metropolitan Statistical Area",00-0000,All Occupations,57580,Annual wage or salary,$40612.00,$20354.00,$50742.00,$18240.00,$23149.00,$33447.00,$48162.00,$68222.00
"Dubuque, IA Metropolitan Statistical Area",00-0000,All Occupations,57580,Hourly wage,$19.53,$9.79,$24.40,$8.77,$11.13,$16.08,$23.15,$32.80
IWD Region 08 (Carroll Area),00-0000,All Occupations,30520,Annual wage or salary,$37219.00,$19909.00,$45874.00,$18058.00,$22650.00,$31886.00,$45053.00,$62176.00
IWD Region 08 (Carroll Area),00-0000,All Occupations,30520,Hourly wage,$17.89,$9.57,$22.05,$8.68,$10.89,$15.33,$21.66,$29.89
IWD Region 09 (Davenport Area),00-0000,All Occupations,143580,Annual wage or salary,$41675.00,$20034.00,$52496.00,$18150.00,$22796.00,$32683.00,$50674.00,$72976.00
IWD Region 09 (Davenport Area),00-0000,All Occupations,143580,Hourly wage,$20.04,$9.63,$25.24,$8.73,$10.96,$15.71,$24.36,$35.08
IWD Region 07 (Waterloo Area),00-0000,All Occupations,98910,Annual wage or salary,$41094.00,$20811.00,$51236.00,$18496.00,$23660.00,$33943.00,$48599.00,$71524.00
IWD Region 07 (Waterloo Area),00-0000,All Occupations,98910,Hourly wage,$19.76,$10.01,$24.63,$8.89,$11.38,$16.32,$23.36,$34.39
IWD Region 06 (Marshalltown Area),00-0000,All Occupations,41490,Annual wage or salary,$40681.00,$20300.00,$50871.00,$18140.00,$23134.00,$32223.00,$48366.00,$71166.00
IWD Region 06 (Marshalltown Area),00-0000,All Occupations,41490,Hourly wage,$19.56,$9.76,$24.46,$8.72,$11.12,$15.49,$23.25,$34.21
IWD Region 05 (Ft Dodge-Webster City Area),00-0000,All Occupations,40020,Annual wage or salary,$41706.00,$21626.00,$51746.00,$18937.00,$24702.00,$34360.00,$50063.00,$71286.00
IWD Region 05 (Ft Dodge-Webster City Area),00-0000,All Occupations,40020,Hourly wage,$20.05,$10.40,$24.88,$9.10,$11.88,$16.52,$24.07,$34.27
IWD Region 01 (Dubuque-Decorah Area),00-0000,All Occupations,100840,Annual wage or salary,$39575.00,$20343.00,$49192.00,$18236.00,$23144.00,$32886.00,$47219.00,$65786.00
IWD Region 01 (Dubuque-Decorah Area),00-0000,All Occupations,100840,Hourly wage,$19.03,$9.78,$23.65,$8.77,$11.13,$15.81,$22.70,$31.63
IWD Region 02 (Mason City Area),00-0000,All Occupations,51780,Annual wage or salary,$38520.00,$20443.00,$47558.00,$18339.00,$23251.00,$31482.00,$45386.00,$64376.00
