ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
1,2017,53,Washington State,13-2011,Accountants & Auditors,27372,$35.33,$25.81,$32.03,$40.82,$73491.00
2,2017,13380,"Bellingham, WA",13-2011,Accountants & Auditors,682,$31.32,$24.57,$29.08,$36.20,$65144.00
3,2017,14740,"Bremerton-Silverdale, WA",13-2011,Accountants & Auditors,454,$33.19,$24.42,$30.71,$39.33,$69042.00
4,2017,28420,"Kennewick-Richland, WA",13-2011,Accountants & Auditors,712,$34.48,$24.70,$33.71,$41.74,$71715.00
5,2017,30300,"Lewiston, ID-WA",13-2011,Accountants & Auditors,129,$31.46,$22.57,$27.85,$34.97,$65440.00
6,2017,31020,"Longview, WA",13-2011,Accountants & Auditors,166,$32.55,$22.50,$28.78,$36.70,$67705.00
7,2017,34580,"Mount Vernon-Anacortes, WA",13-2011,Accountants & Auditors,240,$32.95,$25.20,$30.36,$37.40,$68542.00
8,2017,36500,"Olympia-Tumwater, WA",13-2011,Accountants & Auditors,749,$33.94,$25.03,$30.51,$38.09,$70603.00
9,2017,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-2011,Accountants & Auditors,9513,$33.76,$25.46,$31.01,$39.57,$70205.00
10,2017,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2011,Accountants & Auditors,17257,$36.85,$26.71,$33.62,$43.08,$76644.00
11,2017,44060,"Spokane-Spokane Valley, WA",13-2011,Accountants & Auditors,1639,$31.78,$24.19,$29.67,$37.50,$66093.00
12,2017,45104,"Tacoma-Lakewood, WA Metropolitan Division",13-2011,Accountants & Auditors,2086,$33.15,$23.59,$30.75,$38.31,$68960.00
13,2017,47460,"Walla Walla, WA",13-2011,Accountants & Auditors,172,$36.97,$24.19,$37.16,$48.94,$76889.00
14,2017,48300,"Wenatchee, WA",13-2011,Accountants & Auditors,282,$32.98,$24.83,$29.90,$39.93,$68603.00
15,2017,49420,"Yakima, WA",13-2011,Accountants & Auditors,440,$31.22,$22.67,$29.51,$37.21,$64960.00
