index,Rank,Probability,SOC_Code,Occupation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
0,1.0,0.0028,29-1125,Recreational Therapists,120.0,,480.0,60.0,1710.0,110.0,470.0,50.0,200.0,580.0,480.0,,70.0,80.0,1120.0,410.0,210.0,320.0,120.0,290.0,80.0,350.0,870.0,600.0,550.0,230.0,530.0,50.0,200.0,110.0,100.0,490.0,110.0,1640.0,440.0,60.0,350.0,170.0,140.0,1280.0,100.0,60.0,200.0,50.0,350.0,790.0,360.0,40.0,,370.0,240.0,50.0,290.0,50.0,18180.0
1,2.0,0.003,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",8150.0,1140.0,10410.0,4890.0,39910.0,7340.0,4180.0,1570.0,910.0,28990.0,14090.0,230.0,2330.0,2480.0,14550.0,11700.0,4990.0,5510.0,6840.0,9140.0,2110.0,9660.0,9850.0,14230.0,6980.0,4530.0,9440.0,1920.0,3540.0,3180.0,2330.0,12160.0,2960.0,25560.0,15660.0,2020.0,16670.0,6460.0,4170.0,17900.0,2130.0,1720.0,8140.0,930.0,10630.0,38300.0,4330.0,1170.0,170.0,13860.0,10490.0,3220.0,8380.0,1740.0,455890.0
2,3.0,0.003,11-9161,Emergency Management Directors,180.0,70.0,140.0,130.0,900.0,130.0,130.0,,200.0,150.0,380.0,,70.0,100.0,380.0,330.0,160.0,210.0,140.0,90.0,60.0,100.0,110.0,140.0,230.0,170.0,170.0,70.0,130.0,40.0,50.0,390.0,90.0,600.0,200.0,80.0,310.0,240.0,70.0,430.0,130.0,40.0,220.0,90.0,140.0,480.0,130.0,,,440.0,150.0,70.0,170.0,40.0,9670.0
3,4.0,0.0031,21-1023,Mental Health and Substance Abuse Social Workers,1150.0,460.0,2510.0,830.0,12850.0,1770.0,2030.0,420.0,540.0,3190.0,1330.0,80.0,570.0,510.0,3360.0,2080.0,990.0,900.0,820.0,1210.0,1180.0,2320.0,5810.0,3730.0,2950.0,820.0,2820.0,550.0,390.0,670.0,220.0,1600.0,900.0,11040.0,3500.0,290.0,4980.0,1360.0,2110.0,10170.0,250.0,750.0,,290.0,1630.0,3310.0,1130.0,980.0,,4210.0,2300.0,190.0,1520.0,130.0,111700.0
4,5.0,0.0033,29-1181,Audiologists,70.0,,290.0,60.0,880.0,290.0,90.0,50.0,100.0,670.0,540.0,,,,410.0,300.0,160.0,160.0,,140.0,40.0,160.0,410.0,410.0,190.0,110.0,200.0,80.0,80.0,150.0,60.0,320.0,,920.0,400.0,50.0,540.0,110.0,210.0,580.0,,,110.0,,320.0,970.0,150.0,,,360.0,420.0,110.0,160.0,,11830.0
5,6.0,0.0035,29-1122,Occupational Therapists,1080.0,270.0,1550.0,1030.0,10390.0,2670.0,1940.0,300.0,430.0,6140.0,2820.0,,280.0,400.0,4800.0,2670.0,1050.0,1170.0,1630.0,1660.0,910.0,2710.0,4940.0,4810.0,2370.0,910.0,2490.0,370.0,980.0,680.0,1120.0,4270.0,670.0,8130.0,3150.0,470.0,4620.0,930.0,1080.0,6450.0,180.0,440.0,1280.0,350.0,1970.0,9160.0,840.0,270.0,,2850.0,2630.0,690.0,2970.0,270.0,118240.0
6,7.0,0.0035,29-2091,Orthotists and Prosthetists,130.0,,,50.0,560.0,100.0,110.0,40.0,,320.0,230.0,,,50.0,240.0,220.0,50.0,50.0,110.0,100.0,,70.0,230.0,460.0,290.0,90.0,100.0,40.0,50.0,70.0,,170.0,40.0,440.0,440.0,,,100.0,80.0,280.0,100.0,,210.0,30.0,80.0,330.0,,,,110.0,190.0,,,,6360.0
7,8.0,0.0035,21-1022,Healthcare Social Workers,2160.0,370.0,4440.0,1310.0,14530.0,2280.0,2120.0,540.0,580.0,6390.0,4320.0,50.0,1000.0,550.0,5050.0,4470.0,1420.0,1060.0,1740.0,1740.0,770.0,3960.0,12610.0,6070.0,3110.0,1530.0,4300.0,580.0,1130.0,610.0,610.0,3190.0,1070.0,12540.0,3540.0,340.0,9140.0,2110.0,1480.0,7280.0,590.0,770.0,2010.0,550.0,3040.0,9840.0,1130.0,400.0,,2990.0,3000.0,700.0,2690.0,180.0,159980.0
8,9.0,0.0036,29-1022,Oral and Maxillofacial Surgeons,,,,,620.0,,60.0,,,,,,,,,180.0,,,70.0,,,,260.0,60.0,,,,,40.0,,,,,660.0,,,220.0,190.0,,130.0,,,,30.0,100.0,670.0,,,,160.0,,,,,3450.0
9,10.0,0.0036,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,1010.0,160.0,2390.0,800.0,2200.0,1200.0,1220.0,50.0,,2970.0,1750.0,,450.0,310.0,3530.0,880.0,450.0,1140.0,1030.0,1650.0,290.0,1830.0,2890.0,910.0,610.0,770.0,970.0,110.0,170.0,530.0,360.0,1190.0,800.0,3770.0,1210.0,150.0,2420.0,1410.0,1330.0,910.0,220.0,700.0,1260.0,100.0,2020.0,1500.0,600.0,60.0,,1580.0,2230.0,50.0,940.0,120.0,57200.0
