,Capital Region,,Central New York Region,,Finger Lakes Region,,Hudson Valley Region,,Long Island Region,,Mohawk Valley Region,,New York City Region,,New York State,,North Country Region,,Southern Tier Region,,Western New York Region,
SOC_CODE,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability
11-1011,1050,0.015,570,0.015,880,0.015,1480,0.015,1910,0.015,300,0.015,7350,0.015,15410,0.015,360,0.015,480,0.015,910,0.015
11-1021,8270,0.16,5700,0.16,9200,0.16,16690,0.16,24590,0.16,2600,0.16,77730,0.16,162890,0.16,1980,0.16,4300,0.16,10910,0.16
11-2011,60,0.039,0,0.039,60,0.039,120,0.039,,,0,0.039,4550,0.039,5140,0.039,,,0,0.039,70,0.039
11-2021,340,0.014,200,0.014,670,0.014,810,0.014,1110,0.014,70,0.014,12490,0.014,16510,0.014,50,0.014,170,0.014,430,0.014
11-2022,680,0.013,550,0.013,1040,0.013,1560,0.013,1990,0.013,150,0.013,12490,0.013,20180,0.013,50,0.013,200,0.013,1160,0.013
11-2031,420,0.015,110,0.015,200,0.015,340,0.015,280,0.015,,,4270,0.015,6050,0.015,30,0.015,160,0.015,180,0.015
11-3011,940,0.73,430,0.73,870,0.73,1670,0.73,2620,0.73,180,0.73,10260,0.73,18510,0.73,180,0.73,350,0.73,810,0.73
11-3021,1470,0.035,520,0.035,1300,0.035,1900,0.035,2560,0.035,140,0.035,16270,0.035,25990,0.035,80,0.035,430,0.035,1070,0.035
11-3031,1570,0.069,840,0.069,1370,0.069,2600,0.069,3690,0.069,540,0.069,27050,0.069,40250,0.069,190,0.069,560,0.069,1620,0.069
11-3051,440,0.03,300,0.03,610,0.03,540,0.03,840,0.03,90,0.03,940,0.03,4780,0.03,110,0.03,280,0.03,600,0.03
11-3061,400,0.03,90,0.03,190,0.03,350,0.03,510,0.03,0,0.03,1890,0.03,3890,0.03,0,0.03,160,0.03,210,0.03
11-3071,170,0.59,130,0.59,140,0.59,350,0.59,570,0.59,0,0.59,1300,0.59,3340,0.59,40,0.59,90,0.59,240,0.59
11-3111,120,0.96,0,0.96,70,0.96,0,0.96,120,0.96,,,970,0.96,1490,0.96,,,0,0.96,60,0.96
11-3121,640,0.0055,170,0.0055,390,0.0055,530,0.0055,790,0.0055,80,0.0055,6850,0.0055,10090,0.0055,40,0.0055,170,0.0055,340,0.0055
11-3131,190,0.0063,60,0.0063,250,0.0063,300,0.0063,220,0.0063,0,0.0063,1790,0.0063,3040,0.0063,20,0.0063,0,0.0063,110,0.0063
11-9013,,,,,,,,,,,,,,,0,0.047,,,,,,
11-9021,710,0.071,340,0.071,840,0.071,1260,0.071,1650,0.071,,,6660,0.071,12630,0.071,120,0.071,230,0.071,530,0.071
11-9031,310,0.015,160,0.015,,,640,0.015,750,0.015,90,0.015,2250,0.015,4860,0.015,30,0.015,100,0.015,320,0.015
11-9032,770,0.0046,530,0.0046,1150,0.0046,3090,0.0046,2730,0.0046,380,0.0046,8440,0.0046,19260,0.0046,310,0.0046,570,0.0046,1290,0.0046
11-9033,670,0.01,420,0.01,950,0.01,890,0.01,1070,0.01,240,0.01,5770,0.01,11380,0.01,230,0.01,500,0.01,640,0.01
11-9041,720,0.017,360,0.017,690,0.017,900,0.017,820,0.017,0,0.017,2730,0.017,7430,0.017,40,0.017,420,0.017,590,0.017
11-9051,370,0.083,270,0.083,490,0.083,860,0.083,890,0.083,120,0.083,2180,0.083,6010,0.083,100,0.083,210,0.083,500,0.083
11-9071,,,,,,,,,,,,,,,0,0.091,,,,,,
11-9081,0,0.0039,0,0.0039,,,0,0.0039,0,0.0039,,,260,0.0039,560,0.0039,,,,,50,0.0039
11-9111,1670,0.0073,700,0.0073,1290,0.0073,2740,0.0073,4170,0.0073,510,0.0073,12750,0.0073,26010,0.0073,370,0.0073,520,0.0073,1210,0.0073
11-9121,210,0.018,80,0.018,90,0.018,370,0.018,230,0.018,,,780,0.018,1900,0.018,0,0.018,0,0.018,90,0.018
11-9131,90,0.75,60,0.75,80,0.75,200,0.75,150,0.75,60,0.75,,,880,0.75,70,0.75,70,0.75,90,0.75
11-9141,270,0.81,100,0.81,320,0.81,230,0.81,610,0.81,50,0.81,5510,0.81,7510,0.81,20,0.81,60,0.81,310,0.81
11-9151,820,0.0067,420,0.0067,670,0.0067,1450,0.0067,1030,0.0067,240,0.0067,6060,0.0067,11960,0.0067,250,0.0067,350,0.0067,640,0.0067
11-9161,100,0.003,0,0.003,0,0.003,110,0.003,0,0.003,0,0.003,0,0.003,600,0.003,20,0.003,0,0.003,0,0.003
11-9199,1250,0.25,480,0.25,650,0.25,1190,0.25,1220,0.25,250,0.25,7630,0.25,14640,0.25,320,0.25,,,990,0.25
13-1011,0,0.24,,,0,0.24,,,0,0.24,,,2470,0.24,3050,0.24,,,,,,
13-1021,0,0.87,0,0.87,0,0.87,0,0.87,0,0.87,,,0,0.87,300,0.87,,,,,0,0.87
13-1022,290,0.29,190,0.29,370,0.29,810,0.29,1400,0.29,90,0.29,4190,0.29,8120,0.29,80,0.29,130,0.29,470,0.29
13-1023,920,0.77,640,0.77,1260,0.77,1170,0.77,1470,0.77,310,0.77,6870,0.77,14750,0.77,180,0.77,580,0.77,1230,0.77
13-1031,1740,0.98,1000,0.98,1230,0.98,1030,0.98,4270,0.98,990,0.98,7670,0.98,20520,0.98,70,0.98,510,0.98,1530,0.98
13-1032,0,0.98,50,0.98,70,0.98,0,0.98,470,0.98,,,,,810,0.98,,,0,0.98,60,0.98
13-1041,1630,0.08,750,0.08,1230,0.08,1720,0.08,1920,0.08,390,0.08,10170,0.08,21130,0.08,740,0.08,390,0.08,2070,0.08
13-1051,720,0.57,450,0.57,770,0.57,1170,0.57,2240,0.57,170,0.57,3060,0.57,9850,0.57,110,0.57,260,0.57,840,0.57
