Area Type, Area, Area Name,SOC_CODE, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,1,Capital Region,00-0000,"Total, All Occupations",519440,"$51,990 ","$40,840 ","$23,750 ","$66,120 "
10,2,Central New York Region,00-0000,"Total, All Occupations",345850,"$48,520 ","$37,730 ","$22,600 ","$61,490 "
10,3,Finger Lakes Region,00-0000,"Total, All Occupations",560130,"$49,210 ","$38,290 ","$22,890 ","$62,370 "
10,4,Hudson Valley Region,00-0000,"Total, All Occupations",950700,"$56,930 ","$41,700 ","$23,510 ","$73,640 "
10,5,Long Island Region,00-0000,"Total, All Occupations",1286280,"$57,650 ","$42,970 ","$23,490 ","$74,730 "
10,6,Mohawk Valley Region,00-0000,"Total, All Occupations",187430,"$44,100 ","$34,720 ","$21,730 ","$55,280 "
10,7,New York City Region,00-0000,"Total, All Occupations",4124740,"$68,790 ","$49,810 ","$24,600 ","$90,880 "
10,8,North Country Region,00-0000,"Total, All Occupations",149360,"$43,540 ","$35,320 ","$21,900 ","$54,360 "
10,9,Southern Tier Region,00-0000,"Total, All Occupations",261940,"$47,920 ","$37,120 ","$22,190 ","$60,790 "
10,10,Western New York Region,00-0000,"Total, All Occupations",642690,"$46,370 ","$36,260 ","$22,090 ","$58,500 "
10,1,Capital Region,11-0000,Management Occupations,26080,"$113,860 ","$99,760 ","$62,710 ","$139,440 "
10,2,Central New York Region,11-0000,Management Occupations,14290,"$113,260 ","$98,690 ","$57,860 ","$140,960 "
10,3,Finger Lakes Region,11-0000,Management Occupations,25560,"$120,210 ","$101,710 ","$61,060 ","$149,790 "
10,4,Hudson Valley Region,11-0000,Management Occupations,44460,"$144,000 ","$125,990 ","$68,440 ","$181,780 "
10,5,Long Island Region,11-0000,Management Occupations,58090,"$147,240 ","$128,600 ","$73,280 ","$184,220 "
10,6,Mohawk Valley Region,11-0000,Management Occupations,7080,"$101,650 ","$88,330 ","$56,990 ","$123,980 "
10,7,New York City Region,11-0000,Management Occupations,248410,"$173,800 ","$152,580 ","$84,440 ","$218,470 "
10,8,North Country Region,11-0000,Management Occupations,5720,"$92,560 ","$85,610 ","$53,160 ","$112,260 "
10,9,Southern Tier Region,11-0000,Management Occupations,11830,"$109,650 ","$94,700 ","$56,270 ","$136,340 "
10,10,Western New York Region,11-0000,Management Occupations,26920,"$111,230 ","$96,550 ","$56,960 ","$138,370 "
10,1,Capital Region,11-1011,Chief Executives,1050,"$155,310 ","$137,730 ","$97,270 ","$184,330 "
10,2,Central New York Region,11-1011,Chief Executives,570,"$158,480 ","$133,800 ","$94,390 ","$190,520 "
10,3,Finger Lakes Region,11-1011,Chief Executives,880,"$182,730 ","$151,140 ","$100,320 ","$223,940 "
10,4,Hudson Valley Region,11-1011,Chief Executives,1480,"$226,120 ",,"$118,360 ","$280,000 "
10,5,Long Island Region,11-1011,Chief Executives,1910,"$231,860 ",,"$125,790 ","$284,900 "
10,6,Mohawk Valley Region,11-1011,Chief Executives,300,"$144,710 ","$123,410 ","$100,880 ","$166,630 "
10,7,New York City Region,11-1011,Chief Executives,7350,"$258,880 ",,,
10,8,North Country Region,11-1011,Chief Executives,360,"$135,670 ","$120,180 ","$87,960 ","$159,520 "
10,9,Southern Tier Region,11-1011,Chief Executives,480,"$143,080 ","$122,940 ","$89,650 ","$169,790 "
10,10,Western New York Region,11-1011,Chief Executives,910,"$181,690 ","$147,310 ","$95,570 ","$224,750 "
10,1,Capital Region,11-1021,General and Operations Managers,8270,"$118,160 ","$97,370 ","$56,730 ","$148,880 "
10,2,Central New York Region,11-1021,General and Operations Managers,5700,"$112,020 ","$90,660 ","$49,100 ","$143,480 "
10,3,Finger Lakes Region,11-1021,General and Operations Managers,9200,"$128,320 ","$101,540 ","$55,450 ","$164,760 "
10,4,Hudson Valley Region,11-1021,General and Operations Managers,16690,"$140,650 ","$111,930 ","$57,980 ","$181,980 "
10,5,Long Island Region,11-1021,General and Operations Managers,24590,"$148,720 ","$123,720 ","$65,760 ","$190,200 "
10,6,Mohawk Valley Region,11-1021,General and Operations Managers,2600,"$104,160 ","$81,730 ","$49,550 ","$131,470 "
10,7,New York City Region,11-1021,General and Operations Managers,77730,"$176,720 ","$156,440 ","$74,220 ","$227,960 "
10,8,North Country Region,11-1021,General and Operations Managers,1980,"$86,080 ","$71,510 ","$42,900 ","$107,670 "
10,9,Southern Tier Region,11-1021,General and Operations Managers,4300,"$103,360 ","$83,180 ","$44,320 ","$132,870 "
