SOC_CODE,Capital Region Employment,Capital Region Probability,Central New York Region Employment,Central New York Region Probability,Finger Lakes Region Employment,Finger Lakes Region Probability,Hudson Valley Region Employment,Hudson Valley Region Probability,Long Island Region Employment,Long Island Region Probability,Mohawk Valley Region Employment,Mohawk Valley Region Probability,New York City Region Employment,New York City Region Probability,New York State Employment,New York State Probability,North Country Region Employment,North Country Region Probability,Southern Tier Region Employment,Southern Tier Region,Western New York Region Employment,Western New York Region Probability
11-1011,1050,0,570,0,880,0,1480,0,1910,0,300,0,7350,0,15410,0,360,0,480,0,910,0
11-1021,8270,0,5700,0,9200,0,16690,0,24590,0,2600,0,77730,0,162890,0,1980,0,4300,0,10910,0
11-2011,60,0,0,0,60,0,120,0,,,0,0,4550,0,5140,0,,,0,0,70,0
11-2021,340,0,200,0,670,0,810,0,1110,0,70,0,12490,0,16510,0,50,0,170,0,430,0
11-2022,680,0,550,0,1040,0,1560,0,1990,0,150,0,12490,0,20180,0,50,0,200,0,1160,0
11-2031,420,0,110,0,200,0,340,0,280,0,,,4270,0,6050,0,30,0,160,0,180,0
11-3011,940,1,430,1,870,1,1670,1,2620,1,180,1,10260,1,18510,1,180,1,350,1,810,1
11-3021,1470,0,520,0,1300,0,1900,0,2560,0,140,0,16270,0,25990,0,80,0,430,0,1070,0
11-3031,1570,0,840,0,1370,0,2600,0,3690,0,540,0,27050,0,40250,0,190,0,560,0,1620,0
11-3051,440,0,300,0,610,0,540,0,840,0,90,0,940,0,4780,0,110,0,280,0,600,0
11-3061,400,0,90,0,190,0,350,0,510,0,0,0,1890,0,3890,0,0,0,160,0,210,0
11-3071,170,1,130,1,140,1,350,1,570,1,0,1,1300,1,3340,1,40,1,90,1,240,1
11-3111,120,1,0,1,70,1,0,1,120,1,,,970,1,1490,1,,,0,1,60,1
11-3121,640,0,170,0,390,0,530,0,790,0,80,0,6850,0,10090,0,40,0,170,0,340,0
11-3131,190,0,60,0,250,0,300,0,220,0,0,0,1790,0,3040,0,20,0,0,0,110,0
11-9013,,,,,,,,,,,,,,,0,0,,,,,,
11-9021,710,0,340,0,840,0,1260,0,1650,0,,,6660,0,12630,0,120,0,230,0,530,0
11-9031,310,0,160,0,,,640,0,750,0,90,0,2250,0,4860,0,30,0,100,0,320,0
11-9032,770,0,530,0,1150,0,3090,0,2730,0,380,0,8440,0,19260,0,310,0,570,0,1290,0
11-9033,670,0,420,0,950,0,890,0,1070,0,240,0,5770,0,11380,0,230,0,500,0,640,0
11-9041,720,0,360,0,690,0,900,0,820,0,0,0,2730,0,7430,0,40,0,420,0,590,0
11-9051,370,0,270,0,490,0,860,0,890,0,120,0,2180,0,6010,0,100,0,210,0,500,0
11-9071,,,,,,,,,,,,,,,0,0,,,,,,
11-9081,0,0,0,0,,,0,0,0,0,,,260,0,560,0,,,,,50,0
11-9111,1670,0,700,0,1290,0,2740,0,4170,0,510,0,12750,0,26010,0,370,0,520,0,1210,0
11-9121,210,0,80,0,90,0,370,0,230,0,,,780,0,1900,0,0,0,0,0,90,0
11-9131,90,1,60,1,80,1,200,1,150,1,60,1,,,880,1,70,1,70,1,90,1
11-9141,270,1,100,1,320,1,230,1,610,1,50,1,5510,1,7510,1,20,1,60,1,310,1
11-9151,820,0,420,0,670,0,1450,0,1030,0,240,0,6060,0,11960,0,250,0,350,0,640,0
11-9161,100,0,0,0,0,0,110,0,0,0,0,0,0,0,600,0,20,0,0,0,0,0
11-9199,1250,0,480,0,650,0,1190,0,1220,0,250,0,7630,0,14640,0,320,0,,,990,0
13-1011,0,0,,,0,0,,,0,0,,,2470,0,3050,0,,,,,,
13-1021,0,1,0,1,0,1,0,1,0,1,,,0,1,300,1,,,,,0,1
13-1022,290,0,190,0,370,0,810,0,1400,0,90,0,4190,0,8120,0,80,0,130,0,470,0
13-1023,920,1,640,1,1260,1,1170,1,1470,1,310,1,6870,1,14750,1,180,1,580,1,1230,1
13-1031,1740,1,1000,1,1230,1,1030,1,4270,1,990,1,7670,1,20520,1,70,1,510,1,1530,1
13-1032,0,1,50,1,70,1,0,1,470,1,,,,,810,1,,,0,1,60,1
13-1041,1630,0,750,0,1230,0,1720,0,1920,0,390,0,10170,0,21130,0,740,0,390,0,2070,0
13-1051,720,1,450,1,770,1,1170,1,2240,1,170,1,3060,1,9850,1,110,1,260,1,840,1
13-1081,170,0,110,0,400,0,370,0,440,0,0,0,1020,0,2960,0,70,0,70,0,230,0
13-1111,2790,0,730,0,1610,0,2810,0,3440,0,270,0,25340,0,40000,0,290,0,530,0,1730,0
13-1121,430,0,180,0,310,0,820,0,0,0,120,0,5650,0,9150,0,40,0,140,0,430,0
13-1141,780,0,230,0,350,0,500,0,790,0,60,0,5500,0,8910,0,50,0,160,0,390,0
13-1151,1300,0,630,0,1400,0,1880,0,1820,0,250,0,9430,0,18970,0,230,0,390,0,1360,0
13-1161,1650,1,920,1,2450,1,3840,1,4410,1,360,1,39630,1,56840,1,230,1,640,1,2120,1
13-1199,2130,0,760,0,1150,0,1640,0,2240,0,230,0,12910,0,23420,0,390,0,,,1270,0
13-2011,4640,1,2750,1,4840,1,6520,1,13030,1,1040,1,68380,1,108810,1,660,1,1540,1,4830,1
13-2021,300,1,160,1,270,1,290,1,520,1,130,1,1040,1,3370,1,150,1,190,1,330,1
13-2031,570,1,0,1,140,1,210,1,280,1,0,1,1620,1,3430,1,50,1,80,1,100,1
13-2041,160,1,110,1,140,1,360,1,760,1,0,1,5340,1,7630,1,0,1,90,1,490,1
13-2051,830,0,350,0,960,0,1710,0,1590,0,210,0,41790,0,49020,0,0,0,310,0,980,0
13-2052,690,1,,,600,1,2180,1,1880,1,120,1,20490,1,27790,1,80,1,300,1,770,1
13-2053,620,1,240,1,260,1,510,1,1140,1,500,1,4180,1,7870,1,,,120,1,210,1
13-2061,110,0,90,0,0,0,100,0,190,0,,,4300,0,5140,0,,,0,0,170,0
13-2071,150,0,70,0,110,0,150,0,170,0,70,0,980,0,1910,0,20,0,0,0,120,0
13-2072,670,1,510,1,590,1,610,1,1700,1,330,1,5250,1,11250,1,190,1,390,1,1000,1
